date,ADX,ATR_14,Bollinger_lower,Bollinger_middle,Bollinger_upper,CCI_20,Ichimoku_base_line,Ichimoku_conversion_line,Ichimoku_lagging_span,Ichimoku_leading_span_A,Ichimoku_leading_span_B,MACD_line,MACD_signal,MINUS_DI,PLUS_DI,RSI_14,SMA_20,SMA_50,Stochastic_D,Stochastic_K
2014-12-02,16.07208210209666,2.289663686213533,250.54609601089038,252.3999999999998,254.25390398910923,30.311479190545644,249.564807692308,251.66222222222314,245.7,255.9416276298493,257.2364423076922,0.8965616283846032,0.5879325485266031,25.835214932097877,26.20057741898681,53.25242467681727,250.26399999999975,249.41959999999992,58.62987807012346,41.71726679888627
2014-12-17,20.48979442072871,2.2845799937058073,243.17298315127044,245.2799999999998,247.38701684872916,-152.73330377522757,250.3659615384618,248.9111111111121,252.2,249.56812130177573,253.5731730769229,-1.1946051047468131,-0.13096528104173857,36.56881155994905,17.441550050629594,33.52462242681513,250.3769999999998,248.05159999999992,15.706356444230972,16.82207470769007
2015-01-06,25.64220133754231,2.688729337764134,239.6271963950961,243.86599999999976,248.10480360490342,-154.81176159407548,248.65788461538483,246.55166666666753,248.4,247.3531599276798,250.68019230769215,-1.657002142837655,-1.0084130077042892,39.41648018645266,13.722024389580792,31.960458586190416,247.34499999999986,248.62239999999986,14.01788457703018,17.65288397190844
2015-01-16,22.347447003059475,2.576820492811803,242.19121610227157,245.19199999999978,248.192783897728,-81.09872374108717,246.08192307692332,244.07611111111197,252.93,248.57660585141414,249.36019230769216,-1.1652139167364055,-1.2332256545064963,36.062743875330874,21.298570786432172,39.91258342215076,245.5094999999998,248.2873999999999,64.42985933062782,41.87329945225645
2015-01-30,16.07811760860258,2.4673520880089157,248.94088831899995,250.97799999999978,253.0151116809996,91.62754488192533,246.86000000000024,249.71111111111193,250.28,249.83998726167056,247.98019230769216,1.0528869196403718,0.3940336083011834,22.39440111842113,27.675045531705507,55.21288828906029,246.74799999999976,248.37259999999984,76.67319059934454,59.77517213269883
2015-02-10,12.17542376932198,2.3576919157284877,247.13342539664737,249.69199999999978,252.2505746033522,-11.665298303230658,247.6861538461541,250.29666666666753,258.95,249.87265738001375,248.45596153846134,0.6721199927677901,0.8319809398146576,24.90050066054714,21.378080992220365,46.536143036707486,248.88549999999978,248.1905999999999,26.161433476462815,16.28591673388745
2015-02-12,12.201145937304688,2.2781629273373185,246.72432709145352,248.63799999999978,250.55167290854604,-61.73913043478374,248.26730769230795,249.64444444444527,258.94,249.6975328731104,248.3679807692306,0.37206015932025593,0.6929881584727751,26.76611263051305,19.076628636785944,46.8248166188852,249.10349999999977,248.00699999999986,15.251850833411652,17.861096696073535
2015-03-12,12.15604586286421,2.08942667725465,248.82999200844412,252.58399999999992,256.33800799155574,-17.172377306818593,251.4351923076926,253.48777777777858,268.28,246.84359837278163,248.41076923076915,0.8524068870712256,1.1596642846491503,24.65067756281838,21.63488034734566,46.258344183758545,251.6339999999998,249.09239999999988,19.002581242423087,12.431243124312408
2015-04-01,14.268507510682795,2.187263020509041,254.44809424348816,255.97599999999989,257.5039057565116,-6.928435183320174,255.15942307692328,257.3988888888896,261.49,247.7543696581201,248.02480769230758,1.2982204665635493,1.6318276887305105,25.14681230170946,26.544481413658982,50.12726035417708,255.63599999999974,252.48799999999991,21.958394035825183,26.148005225826424
2015-04-21,30.245912448968788,2.1069211844801456,265.7533503400288,267.84399999999994,269.93464965997106,121.34507465159184,259.93576923076944,264.8188888888895,258.74,250.44342455621342,249.26865384615374,3.5882893573246406,2.7181230879794254,13.33140438805929,38.370129552624086,76.59706480545026,260.5714999999997,256.00699999999995,92.98551381957854,88.19927609216461
2015-05-08,30.509632777491166,2.7325773339201924,259.375598031523,264.2119999999999,269.04840196847675,-109.61881408827306,264.1069230769234,267.0605555555562,248.49,252.88556870479988,252.01846153846148,1.3508853871871338,2.618741526047624,28.27895764132249,23.282740508982275,41.5150157511573,266.42599999999976,259.84299999999996,16.172042911477266,14.972130799076666
2015-05-15,22.453950764856298,2.690120719869753,260.19923393570804,262.23599999999993,264.27276606429183,-81.64947846506193,265.3019230769234,263.25944444444514,254.52,254.05044912886302,253.08528846153845,0.15545659375794685,1.1523519624605163,21.892958734061047,26.48846957403721,43.97343717417989,266.22999999999973,260.7296,57.19713931102166,64.63701211947706
2015-06-03,19.638894901896325,2.9554088028145395,253.1408979495249,257.91799999999995,262.695102050475,-243.62160519211102,263.6171153846157,260.99277777777843,246.77,257.4227186061805,256.48346153846154,-1.5961153182590238,-0.5435252916844582,31.63391438846122,15.29607940673251,32.58396266232166,261.62949999999967,262.2958,11.393678950810584,9.842717317155284
2015-06-16,30.339939104800585,2.9513584032072018,248.27010379565354,251.06399999999994,253.85789620434633,-132.8573313516514,258.7582692307695,253.02388888888956,247.88,261.0875094510194,259.55346153846153,-3.3289423644735052,-2.540950215256626,31.040541246764487,9.823239086127563,25.542970860952124,257.27899999999966,261.5263999999999,16.220299761231573,20.294554003566414
2015-06-29,23.88407818217609,2.783121690771689,251.1569714340125,253.79999999999995,256.4430285659874,-55.451246516405654,255.03250000000025,252.06555555555622,243.55,263.8488280736362,261.1924999999999,-1.8159781240302095,-2.376956141971263,24.20696103022404,17.357831526779353,40.11531965335474,252.62149999999966,260.0145999999999,74.1638550506264,56.69955254805463
