"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","327.31","333.67","334.30","327.07","173.53M","-2.19%"
"11/11/2024","334.64","338.62","338.62","333.76","168.97M","-1.49%"
"11/08/2024","339.71","343.78","344.56","338.82","139.53M","-0.34%"
"11/07/2024","340.87","339.69","343.02","337.76","167.22M","0.08%"
"11/06/2024","340.61","343.52","343.81","337.61","132.09M","-0.25%"
"11/05/2024","341.47","340.72","342.88","339.78","88.17M","-0.62%"
"11/04/2024","343.60","338.42","343.60","337.80","99.33M","1.81%"
"11/01/2024","337.49","337.56","339.93","336.58","104.59M","-0.54%"
"10/31/2024","339.32","342.20","343.30","339.18","147.44M","-1.65%"
"10/30/2024","345.00","346.65","347.79","343.85","128.04M","-0.94%"
"10/29/2024","348.28","346.59","348.28","344.56","134.51M","0.29%"
"10/28/2024","347.27","344.07","347.53","343.74","120.39M","1.14%"
"10/25/2024","343.37","345.04","347.25","342.34","132.30M","0.14%"
"10/24/2024","342.88","344.61","345.97","342.67","124.38M","-0.98%"
"10/23/2024","346.27","342.44","347.75","341.24","123.46M","1.22%"
"10/22/2024","342.09","346.16","346.73","341.55","126.78M","-1.31%"
"10/21/2024","346.62","346.25","348.62","345.12","103.21M","0.35%"
"10/18/2024","345.42","348.59","349.24","344.72","106.42M","-0.66%"
"10/17/2024","347.73","348.84","349.18","346.32","146.93M","0.14%"
"10/16/2024","347.26","346.34","349.11","345.54","133.29M","-1.09%"
"10/15/2024","351.07","351.04","351.46","348.66","118.80M","0.38%"
"10/14/2024","349.74","346.48","350.56","346.48","107.01M","1.24%"
"10/11/2024","345.45","347.17","348.77","345.17","108.87M","0.07%"
"10/10/2024","345.21","347.02","347.55","344.82","172.69M","0.28%"
"10/08/2024","344.23","344.73","345.87","342.89","122.99M","-0.90%"
"10/07/2024","347.34","342.63","347.75","340.19","141.51M","1.64%"
"10/04/2024","341.74","341.09","344.29","339.88","127.72M","0.30%"
"10/02/2024","340.72","340.76","344.83","339.53","133.72M","-1.17%"
"09/30/2024","344.76","355.83","356.29","344.76","142.54M","-2.59%"
"09/27/2024","353.93","356.93","358.71","353.93","142.24M","-0.70%"
"09/26/2024","356.44","350.68","356.44","350.44","139.54M","3.45%"
"09/25/2024","344.56","352.51","354.09","344.56","156.60M","-1.44%"
"09/24/2024","349.61","347.19","349.61","344.75","122.75M","1.11%"
"09/23/2024","345.78","345.01","346.14","343.67","116.06M","0.32%"
"09/20/2024","344.67","346.77","348.89","344.54","171.81M","0.40%"
"09/19/2024","343.28","345.58","346.24","338.56","154.54M","-0.12%"
"09/13/2024","343.69","343.47","345.27","342.05","104.06M","-0.05%"
"09/12/2024","343.85","340.94","343.85","339.23","144.26M","2.44%"
"09/11/2024","335.65","338.08","338.32","332.72","124.65M","-0.84%"
"09/10/2024","338.48","340.68","341.50","338.15","104.43M","-0.50%"
"09/09/2024","340.18","335.79","341.44","334.57","99.15M","-0.64%"
"09/06/2024","342.37","346.14","346.25","340.08","107.60M","-1.03%"
"09/05/2024","345.92","348.96","351.36","344.09","139.08M","-0.21%"
"09/04/2024","346.66","348.19","351.04","346.30","138.92M","-3.38%"
"09/03/2024","358.80","362.00","363.87","358.80","105.62M","-0.91%"
"09/02/2024","362.09","362.57","363.10","358.39","100.65M","0.15%"
"08/30/2024","361.55","362.21","363.55","361.11","135.28M","0.40%"
"08/29/2024","360.10","359.58","361.59","358.23","121.37M","-1.42%"
"08/28/2024","365.28","364.76","365.40","362.06","119.87M","0.20%"
"08/27/2024","364.56","365.94","366.35","363.62","95.29M","-0.48%"
"08/26/2024","366.31","370.01","370.36","365.26","114.48M","-0.43%"
"08/23/2024","367.91","366.78","369.79","366.40","96.37M","-0.32%"
"08/22/2024","369.10","369.71","369.81","366.64","103.89M","0.24%"
"08/21/2024","368.22","367.09","369.02","366.53","107.34M","-0.21%"
"08/20/2024","368.99","369.39","370.67","367.64","105.94M","0.95%"
"08/19/2024","365.52","369.09","369.13","364.01","106.59M","-0.97%"
"08/16/2024","369.11","368.35","369.36","366.27","125.77M","2.42%"
"08/14/2024","360.39","361.11","362.07","358.88","103.71M","0.94%"
"08/13/2024","357.02","356.97","358.69","354.70","110.04M","0.40%"
"08/12/2024","355.61","353.64","356.60","353.25","98.13M","1.16%"
"08/09/2024","351.52","353.82","353.86","349.73","125.05M","1.39%"
"08/08/2024","346.70","343.26","348.89","341.56","159.52M","-0.68%"
"08/07/2024","349.09","340.91","352.72","340.08","159.27M","2.15%"
"08/06/2024","341.73","345.63","350.72","338.20","205.54M","2.97%"
"08/05/2024","331.86","355.28","355.28","324.52","263.54M","-9.12%"
"08/02/2024","365.17","371.76","372.84","363.89","155.24M","-4.04%"
"08/01/2024","380.54","383.68","384.54","380.47","123.74M","0.01%"
"07/31/2024","380.49","376.01","380.49","374.01","151.71M","1.50%"
"07/30/2024","374.87","375.39","376.47","373.54","139.03M","-1.02%"
"07/29/2024","378.73","376.85","380.44","375.87","146.38M","1.21%"
"07/26/2024","374.20","373.44","375.19","371.74","195.05M","0.79%"
"07/25/2024","371.26","372.91","374.00","370.53","156.50M","-1.95%"
"07/24/2024","378.66","378.58","381.95","377.38","137.36M","-0.78%"
"07/23/2024","381.65","383.80","384.91","380.40","151.50M","0.48%"
"07/22/2024","379.84","383.44","384.25","378.06","127.34M","-1.05%"
"07/19/2024","383.89","385.02","385.71","381.21","127.88M","-1.31%"
"07/18/2024","389.00","385.24","389.00","384.53","269.87M","-0.65%"
"07/17/2024","391.55","394.93","395.48","391.22","197.25M","-0.95%"
"07/16/2024","395.31","393.80","396.18","393.20","164.80M","0.37%"
"07/15/2024","393.84","394.09","395.39","391.39","165.53M","0.40%"
"07/12/2024","392.29","394.49","395.23","390.43","174.14M","-1.56%"
"07/11/2024","398.52","398.82","400.31","396.69","163.31M","0.74%"
"07/10/2024","395.60","395.01","396.08","394.02","131.88M","-0.05%"
"07/09/2024","395.79","396.59","396.92","393.31","148.08M","0.33%"
"07/08/2024","394.47","395.62","396.90","394.02","127.69M","-0.25%"
"07/05/2024","395.47","390.51","396.42","390.49","153.44M","1.79%"
"07/04/2024","388.53","386.82","388.53","385.91","148.76M","1.38%"
"07/03/2024","383.23","383.18","383.48","379.89","122.48M","0.53%"
"07/02/2024","381.20","383.33","384.66","380.74","133.14M","-0.82%"
"07/01/2024","384.34","383.10","384.75","382.07","110.26M","0.08%"
"06/28/2024","384.02","383.50","384.02","381.49","122.28M","0.46%"
"06/27/2024","382.27","378.98","382.27","378.06","125.57M","-0.19%"
"06/26/2024","383.01","378.52","383.06","377.87","125.40M","0.83%"
"06/25/2024","379.85","378.12","380.94","378.12","132.67M","0.39%"
"06/24/2024","378.39","378.92","380.47","377.15","126.70M","-0.65%"
"06/21/2024","380.88","382.37","382.92","379.65","175.21M","-1.01%"
"06/20/2024","384.78","383.86","385.76","382.66","147.36M","0.46%"
"06/19/2024","383.01","381.28","383.72","381.21","168.57M","1.40%"
"06/18/2024","377.73","377.07","378.72","376.12","158.17M","1.04%"
"06/17/2024","373.86","375.42","376.57","373.32","130.80M","-0.57%"
"06/14/2024","376.00","375.76","377.68","374.50","173.20M","0.33%"
"06/13/2024","374.75","376.93","378.81","374.65","249.14M","0.98%"
"06/12/2024","371.12","368.43","371.71","367.90","134.89M","0.93%"
"06/11/2024","367.71","369.61","369.90","367.15","127.51M","0.07%"
"06/10/2024","367.46","367.76","370.35","366.35","116.15M","-1.06%"
"06/07/2024","371.39","370.80","372.81","368.57","126.62M","1.35%"
"06/05/2024","366.44","365.64","367.76","363.39","152.84M","1.08%"
"06/04/2024","362.52","363.37","365.07","362.23","169.15M","-0.81%"
"06/03/2024","365.48","361.66","367.01","361.61","174.46M","2.03%"
"05/31/2024","358.21","362.02","362.81","358.12","234.12M","-0.14%"
"05/30/2024","358.70","363.33","363.51","358.70","124.28M","-1.72%"
"05/29/2024","364.96","371.04","371.53","364.96","151.67M","-1.72%"
"05/28/2024","371.33","369.71","372.34","369.58","144.57M","0.05%"
"05/27/2024","371.16","366.98","371.86","366.29","216.89M","1.39%"
"05/24/2024","366.08","367.35","367.69","365.27","127.06M","-1.49%"
"05/23/2024","371.62","370.85","373.72","368.90","136.08M","0.06%"
"05/22/2024","371.41","371.14","372.69","368.72","139.39M","-0.04%"
"05/21/2024","371.55","372.39","373.07","370.90","119.55M","-0.57%"
"05/20/2024","373.68","373.20","375.70","372.22","154.41M","0.84%"
"05/17/2024","370.58","374.43","374.69","370.46","123.11M","-1.07%"
"05/16/2024","374.60","377.33","378.05","373.93","182.17M","0.96%"
"05/14/2024","371.04","371.69","372.12","369.90","124.26M","0.01%"
"05/13/2024","370.99","372.10","373.04","368.79","204.95M","-0.02%"
"05/10/2024","371.08","372.73","373.80","370.41","141.85M","0.61%"
"05/09/2024","368.83","373.70","374.46","368.76","146.40M","-1.41%"
"05/08/2024","374.09","372.32","374.12","371.58","126.97M","0.35%"
"05/07/2024","372.80","370.06","372.80","369.85","157.57M","2.54%"
"05/03/2024","363.58","367.57","367.91","363.58","90.44M","-0.20%"
"05/02/2024","364.31","363.37","365.69","363.37","107.17M","-0.22%"
"05/01/2024","365.13","365.17","367.94","364.20","130.23M","0.00%"
"04/30/2024","365.13","365.17","367.94","364.20","130.23M","0.18%"
"04/29/2024","364.48","363.71","364.73","362.13","145.79M","0.96%"
"04/26/2024","361.02","360.18","362.08","358.98","154.22M","1.27%"
"04/25/2024","356.51","359.05","360.57","356.51","107.77M","-1.95%"
"04/24/2024","363.60","361.66","364.07","361.34","115.52M","2.14%"
"04/23/2024","355.98","357.56","358.83","355.86","131.15M","-0.25%"
"04/22/2024","356.89","355.68","357.48","353.72","152.40M","1.22%"
"04/19/2024","352.58","353.90","355.37","347.12","163.74M","-1.80%"
"04/18/2024","359.06","354.25","360.33","353.48","155.19M","1.78%"
"04/17/2024","352.79","358.21","359.11","352.79","108.35M","-1.09%"
"04/16/2024","356.67","361.51","362.05","355.20","137.54M","-2.37%"
"04/15/2024","365.31","364.28","365.74","361.01","122.92M","-0.53%"
"04/12/2024","367.25","371.20","371.43","366.48","163.65M","-0.94%"
"04/11/2024","370.72","364.53","372.49","364.18","147.05M","0.12%"
"04/09/2024","370.27","374.66","375.47","369.96","124.59M","-0.60%"
"04/08/2024","372.51","372.62","373.96","371.60","117.62M","0.25%"
"04/05/2024","371.57","371.51","374.13","370.20","160.48M","-1.08%"
"04/04/2024","375.61","374.45","376.20","373.39","129.76M","1.59%"
"04/03/2024","369.72","373.09","373.63","369.72","155.08M","-1.76%"
"04/02/2024","376.34","374.16","377.29","373.44","149.55M","0.55%"
"04/01/2024","374.28","377.66","378.29","374.19","117.50M","-0.09%"
"03/29/2024","374.63","375.04","375.56","372.77","136.76M","0.38%"
"03/28/2024","373.22","373.78","374.80","372.23","134.09M","-0.23%"
"03/27/2024","374.08","372.58","375.33","372.48","147.63M","-0.14%"
"03/26/2024","374.60","373.77","377.83","373.18","135.11M","1.04%"
"03/25/2024","370.73","373.69","375.23","369.77","118.92M","-0.52%"
"03/22/2024","372.65","373.27","375.10","370.71","138.51M","-0.27%"
"03/21/2024","373.66","369.97","373.82","368.82","154.73M","2.85%"
"03/20/2024","363.32","361.07","363.58","359.93","147.69M","1.68%"
"03/19/2024","357.33","359.03","359.07","355.51","147.01M","-1.10%"
"03/18/2024","361.31","360.74","361.77","358.53","120.54M","0.53%"
"03/15/2024","359.39","364.12","364.67","359.39","201.92M","-1.99%"
"03/14/2024","366.68","363.85","366.68","363.50","266.38M","1.00%"
"03/13/2024","363.04","363.15","364.43","361.26","133.92M","0.53%"
"03/12/2024","361.11","359.95","362.00","357.88","125.85M","0.77%"
"03/11/2024","358.34","359.31","360.94","358.20","120.79M","-0.93%"
"03/08/2024","361.71","360.87","362.72","360.01","117.52M","1.37%"
"03/07/2024","356.82","357.80","358.61","354.96","120.27M","0.16%"
"03/06/2024","356.25","356.01","357.25","354.52","123.87M","-0.37%"
"03/05/2024","357.59","359.39","362.54","357.59","134.88M","-0.97%"
"03/04/2024","361.10","358.99","361.98","358.48","152.49M","1.56%"
"02/29/2024","355.57","355.38","356.46","353.29","187.60M","-0.34%"
"02/28/2024","356.79","353.06","357.51","352.31","127.22M","1.14%"
"02/27/2024","352.76","356.39","356.42","352.02","137.86M","-0.77%"
"02/26/2024","355.48","356.75","357.14","352.91","140.52M","-0.86%"
"02/23/2024","358.57","360.40","362.72","358.18","133.37M","0.25%"
"02/22/2024","357.67","358.87","358.97","355.86","128.28M","0.46%"
"02/21/2024","356.04","357.07","358.81","354.69","109.12M","-0.25%"
"02/20/2024","356.92","359.53","359.92","355.07","119.32M","-1.10%"
"02/19/2024","360.88","356.40","361.32","356.40","139.81M","1.51%"
"02/16/2024","355.52","354.19","355.58","352.17","121.46M","1.23%"
"02/15/2024","351.21","355.83","356.02","351.21","121.34M","-0.42%"
"02/14/2024","352.69","351.52","353.77","350.62","120.51M","-1.31%"
"02/13/2024","357.38","356.85","358.68","356.10","156.04M","1.16%"
"02/08/2024","353.29","353.44","354.96","352.00","192.01M","0.30%"
"02/07/2024","352.25","349.80","354.71","348.96","246.76M","1.28%"
"02/06/2024","347.80","348.23","350.43","345.52","132.64M","-0.39%"
"02/05/2024","349.15","352.70","352.96","344.95","189.50M","-1.21%"
"02/02/2024","353.43","345.10","353.44","344.94","212.40M","3.22%"
"02/01/2024","342.41","335.89","342.48","335.89","243.07M","1.84%"
"01/31/2024","336.24","335.50","337.20","335.15","126.92M","-0.37%"
"01/30/2024","337.48","340.96","341.62","337.08","128.28M","-0.11%"
"01/29/2024","337.84","335.68","340.51","334.66","114.36M","1.09%"
"01/26/2024","334.21","331.99","337.67","331.28","86.54M","0.12%"
"01/25/2024","333.80","333.20","334.19","331.37","101.11M","0.16%"
"01/24/2024","333.27","334.45","334.66","331.01","100.93M","-0.51%"
"01/23/2024","334.97","334.87","335.12","332.23","95.07M","0.70%"
"01/22/2024","332.63","335.76","336.15","332.63","92.55M","-0.11%"
"01/19/2024","332.99","331.60","333.27","330.63","102.43M","1.79%"
"01/18/2024","327.13","326.88","328.78","325.10","98.18M","0.31%"
"01/17/2024","326.11","335.51","336.06","326.06","134.92M","-2.58%"
"01/16/2024","334.73","337.76","338.74","334.22","94.32M","-1.33%"
"01/15/2024","339.24","338.61","340.54","337.66","86.54M","0.30%"
"01/12/2024","338.22","339.79","341.05","337.22","86.83M","-0.61%"
"01/11/2024","340.28","340.32","342.79","339.93","163.53M","-0.11%"
"01/10/2024","340.66","344.21","345.06","340.26","95.49M","-0.92%"
"01/09/2024","343.81","350.01","350.20","343.00","94.88M","-0.51%"
"01/08/2024","345.58","348.17","349.39","345.48","78.23M","-0.47%"
"01/05/2024","347.22","348.22","348.87","346.32","82.15M","-0.24%"
"01/04/2024","348.07","349.10","350.76","347.13","103.14M","-0.89%"
"01/03/2024","351.20","356.74","356.82","351.20","117.69M","-2.59%"
"01/02/2024","360.55","356.43","361.53","355.96","106.71M","0.72%"
"12/28/2023","357.99","352.75","357.99","352.01","108.35M","1.57%"
"12/27/2023","352.46","350.05","352.46","348.93","129.88M","0.58%"
"12/26/2023","350.43","350.57","351.16","349.00","109.35M","0.37%"
"12/22/2023","349.15","351.68","352.33","349.15","114.79M","0.11%"
"12/21/2023","348.78","348.25","349.78","346.70","128.07M","-0.38%"
"12/20/2023","350.11","346.67","350.40","346.22","213.30M","1.79%"
"12/19/2023","343.95","343.18","344.15","342.17","165.18M","0.13%"
"12/18/2023","343.50","344.36","344.51","342.23","126.76M","-0.14%"
"12/15/2023","343.99","343.43","345.68","342.94","144.48M","0.78%"
"12/14/2023","341.33","341.97","342.68","339.39","156.81M","1.38%"
"12/13/2023","336.68","339.09","339.46","336.54","74.86M","-0.91%"
"12/12/2023","339.77","339.42","340.69","338.81","96.20M","0.54%"
"12/11/2023","337.93","337.68","338.21","335.77","80.19M","0.40%"
"12/08/2023","336.60","335.33","337.27","334.91","72.00M","1.18%"
"12/07/2023","332.67","332.95","333.96","331.42","85.65M","-0.23%"
"12/06/2023","333.45","334.30","335.47","333.45","86.20M","0.18%"
"12/05/2023","332.85","335.21","335.27","332.61","93.83M","-0.98%"
"12/04/2023","336.14","337.20","337.76","335.63","90.95M","0.40%"
"12/01/2023","334.80","336.71","336.73","334.41","95.30M","-1.07%"
"11/30/2023","338.43","335.61","338.43","334.90","169.52M","0.54%"
"11/29/2023","336.62","336.64","337.10","334.34","88.76M","-0.27%"
"11/28/2023","337.52","335.15","337.65","334.49","97.44M","1.15%"
"11/27/2023","333.67","334.42","336.04","332.58","72.98M","-0.10%"
"11/24/2023","334.00","337.26","337.88","334.00","73.07M","-0.86%"
"11/23/2023","336.91","337.46","338.02","335.79","72.84M","0.03%"
"11/22/2023","336.81","334.08","337.56","333.46","72.50M","0.07%"
"11/21/2023","336.57","336.12","337.75","335.64","80.86M","0.70%"
"11/20/2023","334.23","331.30","335.56","331.05","73.76M","0.65%"
"11/17/2023","332.06","332.91","333.71","331.16","72.72M","-0.67%"
"11/16/2023","334.31","333.52","334.90","332.16","80.86M","0.10%"
"11/15/2023","333.96","333.15","333.97","330.99","117.06M","2.26%"
"11/14/2023","326.57","326.12","327.80","325.80","75.47M","1.01%"
"11/13/2023","323.31","326.78","327.63","322.64","68.73M","-0.14%"
"11/10/2023","323.75","322.78","324.18","321.26","65.66M","-0.47%"
"11/09/2023","325.29","324.38","326.89","323.32","93.29M","0.40%"
"11/08/2023","324.00","329.44","330.42","323.36","89.90M","-1.01%"
"11/07/2023","327.29","330.70","330.70","323.89","119.88M","-2.06%"
"11/06/2023","334.16","322.62","334.16","321.57","174.43M","5.00%"
"11/03/2023","318.24","317.96","318.76","316.50","89.97M","0.98%"
"11/02/2023","315.16","314.59","316.51","314.12","112.38M","1.76%"
"11/01/2023","309.71","307.55","310.41","307.33","88.98M","1.36%"
"10/31/2023","305.56","310.49","311.58","305.14","121.72M","-1.10%"
"10/30/2023","308.95","307.01","310.12","306.89","95.85M","0.14%"
"10/27/2023","308.53","309.68","310.43","307.24","92.93M","0.25%"
"10/26/2023","307.75","311.36","312.37","307.75","110.77M","-2.76%"
"10/25/2023","316.49","319.26","319.59","316.30","91.22M","-0.61%"
"10/24/2023","318.43","317.34","318.63","311.77","93.26M","0.93%"
"10/23/2023","315.50","317.43","318.30","315.09","89.16M","-0.77%"
"10/20/2023","317.96","319.45","320.18","316.28","112.71M","-1.49%"
"10/19/2023","322.76","324.75","325.08","322.40","115.71M","-1.84%"
"10/18/2023","328.82","326.32","329.06","326.12","134.13M","0.45%"
"10/17/2023","327.35","325.70","328.26","325.01","88.46M","1.26%"
"10/16/2023","323.29","324.10","326.00","321.32","93.10M","-0.76%"
"10/13/2023","325.77","326.11","327.33","325.43","91.78M","-0.94%"
"10/12/2023","328.85","326.89","328.85","326.89","108.82M","1.27%"
"10/11/2023","324.74","323.96","327.26","323.95","119.11M","1.76%"
"10/10/2023","319.11","322.97","324.85","319.06","128.82M","0.05%"
"10/06/2023","318.94","319.27","320.67","318.44","87.54M","0.11%"
"10/05/2023","318.58","321.46","321.71","318.46","104.52M","-0.27%"
"10/04/2023","319.45","322.61","322.61","318.88","149.16M","-2.22%"
"09/27/2023","326.71","325.05","327.50","324.73","81.60M","-0.06%"
"09/26/2023","326.90","331.51","331.56","326.63","90.03M","-1.41%"
"09/25/2023","331.58","331.40","332.65","330.10","84.40M","-0.13%"
"09/22/2023","332.02","329.90","332.59","329.11","87.03M","-0.31%"
"09/21/2023","333.04","336.73","337.54","333.01","96.33M","-1.69%"
"09/20/2023","338.75","338.54","339.87","337.57","104.35M","-0.02%"
"09/19/2023","338.82","341.50","342.18","338.21","96.05M","-0.54%"
"09/18/2023","340.67","342.98","344.39","340.51","100.51M","-1.25%"
"09/15/2023","344.98","341.56","346.29","341.02","159.76M","1.11%"
"09/14/2023","341.19","337.34","341.19","336.64","121.38M","1.55%"
"09/13/2023","335.99","335.83","337.61","334.67","106.78M","0.13%"
"09/12/2023","335.54","338.51","338.81","335.28","94.68M","-0.60%"
"09/11/2023","337.58","336.52","337.62","335.33","112.57M","0.35%"
"09/08/2023","336.40","336.29","336.66","333.92","79.83M","-0.10%"
"09/07/2023","336.74","336.93","338.02","335.08","88.39M","-0.33%"
"09/06/2023","337.85","339.66","340.48","337.36","91.71M","-0.72%"
"09/05/2023","340.29","340.15","341.45","339.25","82.75M","-0.21%"
"09/04/2023","341.02","339.10","341.02","337.60","96.70M","0.81%"
"09/01/2023","338.28","334.11","338.95","334.07","119.77M","1.05%"
"08/31/2023","334.75","335.38","336.06","333.39","146.25M","-0.06%"
"08/30/2023","334.94","337.11","337.69","334.94","89.26M","0.35%"
"08/29/2023","333.76","333.57","334.46","332.70","88.52M","0.37%"
"08/28/2023","332.53","332.10","332.67","330.87","95.14M","0.69%"
"08/25/2023","330.25","329.31","331.40","328.66","82.42M","-1.07%"
"08/24/2023","333.82","333.14","334.04","332.14","105.02M","1.42%"
"08/23/2023","329.15","328.95","330.22","327.87","87.58M","-0.17%"
"08/22/2023","329.70","331.65","332.53","328.69","93.98M","0.26%"
"08/21/2023","328.84","329.45","331.09","328.30","100.07M","0.13%"
"08/18/2023","328.42","326.90","330.65","326.24","119.16M","-0.55%"
"08/17/2023","330.23","329.63","330.43","325.74","117.99M","-0.32%"
"08/16/2023","331.28","333.69","334.17","330.54","126.66M","-1.50%"
"08/14/2023","336.33","338.58","339.52","335.28","125.09M","-0.78%"
"08/11/2023","338.98","341.88","343.03","338.80","128.91M","-0.43%"
"08/10/2023","340.46","339.69","340.46","339.09","164.73M","-0.34%"
"08/09/2023","341.61","339.00","342.38","338.45","115.52M","1.08%"
"08/08/2023","337.95","342.12","342.62","337.25","127.77M","-0.51%"
"08/07/2023","339.68","339.60","343.18","339.46","117.86M","-0.46%"
"08/04/2023","341.25","341.60","342.72","340.62","118.84M","-0.08%"
"08/03/2023","341.54","344.80","345.05","340.10","169.19M","-0.66%"
"08/02/2023","343.80","349.10","349.74","343.25","173.99M","-2.05%"
"08/01/2023","351.00","347.35","351.23","346.56","171.25M","1.56%"
"07/31/2023","345.62","346.50","347.18","344.72","168.15M","0.46%"
"07/28/2023","344.03","343.55","344.34","341.31","197.32M","-0.21%"
"07/27/2023","344.76","341.64","345.50","340.58","238.86M","1.23%"
"07/26/2023","340.56","345.18","345.42","339.53","296.54M","-1.26%"
"07/25/2023","344.92","345.78","346.27","342.93","200.89M","0.17%"
"07/24/2023","344.32","341.98","345.87","340.67","151.45M","0.56%"
"07/21/2023","342.39","339.19","342.39","337.45","130.85M","0.21%"
"07/20/2023","341.67","341.37","343.29","340.62","116.38M","-0.42%"
"07/19/2023","343.11","345.61","345.69","341.78","123.78M","-0.08%"
"07/18/2023","343.38","346.49","346.98","342.90","131.14M","-0.69%"
"07/17/2023","345.75","345.38","346.98","344.74","150.89M","-0.34%"
"07/14/2023","346.93","343.49","346.93","342.90","155.04M","1.70%"
"07/13/2023","341.13","341.60","343.01","341.10","154.06M","0.49%"
"07/12/2023","339.46","336.82","339.46","336.15","185.30M","0.72%"
"07/11/2023","337.02","333.47","337.02","332.91","147.28M","1.87%"
"07/10/2023","330.84","331.82","333.60","330.39","116.84M","-0.22%"
"07/07/2023","331.57","334.79","334.79","330.33","134.89M","-1.38%"
"07/06/2023","336.20","338.19","338.88","335.55","146.37M","-0.84%"
"07/05/2023","339.04","341.47","342.82","338.93","130.51M","-0.75%"
"07/04/2023","341.59","343.54","343.88","341.42","103.85M","-0.43%"
"07/03/2023","343.08","340.26","343.50","340.07","98.77M","1.52%"
"06/30/2023","337.95","337.56","338.98","335.04","103.95M","0.46%"
"06/29/2023","336.39","338.46","340.34","336.39","105.44M","-0.60%"
"06/28/2023","338.41","341.38","341.60","337.60","96.69M","-0.56%"
"06/27/2023","340.32","340.42","340.45","338.65","97.62M","-0.02%"
"06/26/2023","340.38","338.38","340.78","337.62","101.45M","0.57%"
"06/23/2023","338.45","341.95","342.21","338.21","100.44M","-0.78%"
"06/22/2023","341.12","338.52","341.56","338.46","103.39M","0.49%"
"06/21/2023","339.44","341.48","342.03","338.98","126.95M","-0.92%"
"06/20/2023","342.58","341.98","343.02","341.15","157.40M","-0.16%"
"06/19/2023","343.13","344.36","344.55","341.98","120.26M","-0.59%"
"06/16/2023","345.17","345.09","345.35","343.13","153.59M","0.58%"
"06/15/2023","343.19","345.93","346.58","342.72","117.11M","-0.42%"
"06/14/2023","344.65","346.49","346.88","343.69","124.56M","-0.50%"
"06/13/2023","346.39","346.92","347.46","345.38","119.45M","0.53%"
"06/12/2023","344.57","347.54","348.18","343.70","115.93M","-0.64%"
"06/09/2023","346.79","344.28","347.42","343.34","139.70M","1.18%"
"06/08/2023","342.75","342.16","342.75","340.48","155.26M","-0.14%"
