date,open,high,low,close,volume,change,updown,comp,amount,marcap,highlow,SMA_20,SMA_50,RSI_14,MACD_line,MACD_signal,Bollinger_upper,Bollinger_middle,Bollinger_lower,ATR_14,CCI_20,Stochastic_K,Stochastic_D,ADX,PLUS_DI,MINUS_DI,Ichimoku_conversion_line,Ichimoku_base_line,Ichimoku_leading_span_A,Ichimoku_leading_span_B,Ichimoku_lagging_span
2010-03-30,223.45,223.5,221.63,222.48,102486806,0.004,1,0.88,3899534872103,778045001510205,0,218.121,214.9548,62.5761112587358,2.03881797921386,1.5127023401951,223.219831582924,221.498,219.776168417076,2.65386869384985,124.855704852933,78.1647402952821,78.3703608621506,23.3355873403005,29.1558529509657,14.3770415494537,220.561111111111,216.344038461539,,,220.21
2010-03-31,222.76,223.2,221.06,221.58,111845205,-0.004,2,-0.9,3943957089683,774697800629405,-1,218.582,214.8988,59.7803895926454,2.02053348972581,1.61426857010124,222.810345108912,221.796,220.781654891088,2.61716378714629,101.409218119227,64.2371995820271,74.1341809075798,23.742943037103,27.4488061100765,15.0947631931296,220.803333333333,216.697307692308,,,215.09
2010-04-01,221.98,225.58,221.98,225.47,111807574,0.0176,1,3.89,5154990200019,788563643225115,0,219.26,214.9256,66.7044827557708,2.29349540263715,1.75011393660842,225.558404551747,222.676,219.793595448253,2.71593780235013,160.678349931805,74.3623188405796,72.2547529059629,24.8384440358815,30.8279684348292,13.5033199770526,221.218333333333,217.125576923077,,,219.1
2010-04-02,226.03,226.78,225.28,226.69,125157273,0.0054,1,1.22,5444076746325,791764123482265,0,219.892,214.9628,68.5340994791981,2.57853968879121,1.91579908704498,227.794680323535,223.564,219.333319676465,2.62908510218226,197.290096673517,82.5913437838903,73.7302874021657,26.166181901883,32.8360926436606,12.9518612944969,222.050555555556,217.702884615385,,,217.63
2010-04-05,227.37,228.02,225.61,227.48,113489512,0.0035,1,0.79,4629423681475,793234772145065,0,220.3795,214.9892,69.6953748508458,2.83549985955247,2.09973924154648,229.382085738109,224.74,220.097914261891,2.6134361663121,188.538096264417,96.3316674995834,84.4284433746844,27.6963407678313,34.0647237031595,12.0970645030934,222.786111111111,218.368653846154,,,216.78
2010-04-06,228.62,228.64,226.49,227.51,91862442,0.0001,1,0.03,3937299329438,793546271822065,0,220.864,215.1258,69.7410445162227,3.00690170434203,2.28117173410559,230.167883761476,225.746,221.324116238524,2.58033358300409,170.463774668642,92.0001314206572,90.3077142347103,29.2598408840431,33.753026757514,11.3757622229337,223.528888888889,219.129807692308,,,220.8
2010-04-07,227.33,227.82,226.62,227.31,109790294,-0.0009,2,-0.2,4761089549524,793156884676760,0,221.3385,215.2854,68.9945491461542,3.09096979693393,2.44313134667126,228.432202584075,226.892,225.351797415925,2.48173832707523,139.694545454545,85.7879192084451,91.3732393762286,30.7116624205256,32.5851824835945,10.9821643726145,224.291666666667,219.739615384615,,,221.08
2010-04-08,226.66,228.27,226.22,228.27,84630151,0.0042,1,0.96,3852993724844,796884687275090,1,221.914,215.553,70.6201508764741,3.19819158119333,2.59414339357567,228.461586053759,227.452,226.442413946241,2.45089987514128,127.573949843032,84.7034911843622,87.4971806044882,32.1716864698009,31.9487914553412,10.3249351819231,224.96,220.341153846154,,,215.36
2010-04-09,228.34,228.76,224.82,226.81,164943092,-0.0064,2,-1.46,5180546970515,792428790444940,0,222.387,215.8288,65.0355371468356,3.12928338844844,2.70117139255023,228.415242247779,227.476,226.536757752221,2.55726416977405,96.6195832980915,73.1752464937748,81.222218962194,32.5093278454228,28.4275530678852,13.1032433304695,225.571111111111,220.895,,,214.42
2010-04-12,227.56,227.94,224.14,224.59,111511379,-0.0098,2,-2.22,4905049498621,785043775477690,-1,222.842,216.0072,57.5793612709264,2.86254012189963,2.73344513842011,229.389791323546,226.898,224.406208676454,2.64603101479019,61.8958866108961,49.7453230638514,69.2080202473295,32.3631999099526,25.5075591078789,13.595411336628,225.957222222222,221.379615384615,,,212.43
2010-04-13,225.21,225.48,222.93,224.69,83805220,0.0004,1,0.1,3548562571983,785203844388495,0,223.314,216.2942,57.8139816102636,2.62890890027992,2.71253789079207,229.255851467834,226.334,223.412148532166,2.63917165659089,28.5457419366209,30.1455177329138,51.0220290968467,31.4574530231455,23.7449538125689,15.9348749066477,226.187777777778,221.653269230769,,,208.78
2010-04-14,226.01,228.08,226.01,228.08,109970957,0.0151,1,3.39,4739473260555,796678831859010,0,223.704,216.6406,64.9010545836966,2.68633277051768,2.70729686673719,229.669053913427,226.488,223.306946086573,2.69280225254868,89.5588206599158,42.7550436984401,40.8819614984018,31.5373245311471,28.5118536652677,14.5003477095013,226.550555555556,222.0275,,,210.27
2010-04-15,229.52,229.84,227.13,229.17,136429536,0.0048,1,1.09,5645555147490,800634468677090,1,224.2115,217.0386,66.8305683444366,2.78766107032772,2.7233697074553,230.301673623213,226.668,223.034326376787,2.69403066308092,109.316148261992,69.6095929118893,47.5033847810811,32.1160281830227,31.1323811014718,13.4573709575819,226.823333333333,222.455769230769,,,204.83
2010-04-16,228.83,229.11,226.21,227.69,93003350,-0.0065,2,-1.48,4090822305082,795560948103095,0,224.572,217.3552,61.8581184136734,2.71721844402128,2.72213945476849,230.572154503235,226.844,223.115845496765,2.71302847286085,78.3964276458744,82.5085908093854,64.9577424732383,32.097929060066,28.7038510452952,14.8321360164047,226.917222222222,222.828461538462,,,206.62
2010-04-19,224.17,225.76,223.04,223.65,89081236,-0.0177,2,-4.04,3435845951114,781702509153355,-1,224.8285,217.5938,50.7563957827038,2.30878369755305,2.63946830332541,230.881477014497,226.656,222.430522985503,2.85138358194222,-13.931010020396,56.5364206464061,69.5515347892269,30.4680740602629,25.3574182760669,21.0507584720398,226.565555555556,223.107115384615,,,209.83
2010-04-20,224.98,225.69,224.15,225.13,86755985,0.0066,1,1.48,3637940272355,786968556648410,0,225.0805,217.9952,54.0125014331379,2.08053671729954,2.52768198612023,230.817634249657,226.744,222.670365750343,2.79342761180349,2.19582987942532,36.6802162254192,58.5750758937369,28.9546372747316,24.0336164939529,19.9517888814944,226.31,223.435192307692,,,212.1
2010-04-21,226.82,229.24,226.72,229.09,110513738,0.0176,1,3.96,4721203239587,800872060329515,0,225.5305,218.5096,61.3722961768223,2.19389835137673,2.46092525917153,231.351262307742,226.946,222.540737692258,2.88746849667467,93.1029304336984,43.3751879912602,45.5306082876952,28.728384036003,30.3765205287365,17.9217906287066,226.391666666667,223.919807692308,,,214.34
2010-04-22,227.6,228.02,226.19,227.76,99465035,-0.0058,2,-1.33,4516540351753,796476762939840,0,225.865,218.9446,58.0141398361955,2.15161588974061,2.39906338528535,230.621445640818,226.664,222.706554359182,2.88836360405505,56.4725596983671,65.2783048703352,48.4445696956716,28.262912467305,28.1965498427978,17.9472005620057,226.426666666667,224.248653846154,212.042451512163,,213.02
2010-04-23,228.99,229.08,226.66,227.36,93337337,-0.0018,2,-0.4,4293436699425,795249780185405,0,226.1205,219.373,57.0038962233818,2.06205993387479,2.33166269500324,230.495350895161,226.598,222.700649104839,2.85490906090826,64.0267999367705,78.2590132827325,62.304168714776,28.1512218386211,29.1419994434187,16.859852817521,226.63,224.553269230769,212.078906558185,215.437019230769,217.58
2010-04-26,228.5,230.54,228.47,229.64,91555054,0.01,1,2.28,4038859620045,802904038549045,1,226.5225,219.7712,61.1560651324691,2.15027609456257,2.2953853749151,230.94226381602,227.796,224.64973618398,2.87812984227196,127.780886153517,77.2406481902165,73.5926554477614,28.4602157124892,30.4662657315386,15.5284872268924,227.218888888889,224.917115384615,212.166665844839,215.388365384615,218.03
2010-04-27,229.06,230.1,228.16,229.28,97141012,-0.0016,2,-0.36,4217157296162,801782526343370,0,226.8625,220.182,60.1680486858355,2.16616880057649,2.26954206004738,230.420195084145,228.626,226.831804915855,2.81112056782396,109.505575487603,75.5424650237354,77.0140421655615,28.5796021350847,28.9636230210434,15.5507260176079,227.450555555556,225.324423076923,212.296303829717,215.297019230769,214.38
2010-04-28,224.81,226.98,224.61,226.98,119430013,-0.01,2,-2.3,5330361069980,794031423430685,0,227.1325,220.527,54.1490343932883,1.97045888305945,2.20972542464979,230.325795466112,228.204,226.082204533888,2.94389767012225,-37.6083834246483,65.638749634517,72.8072876161563,27.0246277886756,25.6801470432588,22.405530985686,227.151666666667,225.539807692308,212.459442389875,215.219230769231,216.08
2010-04-29,227.58,227.58,224.98,226.11,122786181,-0.0038,2,-0.87,5270099282088,792474436104495,0,227.1645,220.7804,52.0288211944651,1.72526782081036,2.11283390388191,230.597339126873,227.874,225.150660873127,2.9193335508278,-44.874417879618,45.4319551859821,62.2043899480782,25.7909968468051,25.514465443004,20.9795360362406,226.998333333333,225.7475,212.653932856673,215.177692307692,215.26
2010-04-30,227.94,229.14,227.59,227.95,113667616,0.0081,1,1.84,5551376133641,798812929254180,0,227.2275,221.0884,55.9566488775473,1.660286016247,2.02232432635493,230.666723163245,227.992,225.317276836755,2.92723829719724,66.430978398491,40.5283867341202,50.5330305182065,25.1693166230927,27.4354601316865,19.4277255896248,227.438888888889,226.055576923077,212.874526627219,215.165673076923,215.73
2010-05-03,227.04,227.72,223.67,225.1,109194354,-0.0125,2,-2.85,4580665205740,788992187529940,0,227.1085,221.4164,49.2325228098304,1.36310328029285,1.89048011714251,229.977872146441,227.084,224.190127853559,3.02386413311173,-81.9593851919901,34.6194631159974,40.1932683453666,23.6586044628138,24.6606507844497,26.7260607123817,227.525,226.227307692308,213.115927021696,215.127692307692,219.22
2010-05-04,226.29,227.0,224.22,224.76,122125587,-0.0015,2,-0.34,4349111678422,787306163278125,0,226.971,221.646,48.4840062913582,1.08761135576702,1.72990636486741,228.539762699931,226.18,223.820237300069,3.00644526646089,-80.6547276164139,32.8300511977515,35.992633682623,22.2558003139835,23.0312633176393,24.9602067313737,227.261666666667,226.393461538461,213.379628944773,215.111634615385,221.43
2010-05-06,219.56,220.76,218.72,220.21,130888822,-0.0202,2,-4.55,5201545436200,771080203314395,0,226.616,221.7812,39.7699311546372,0.49641270999021,1.48320763389197,229.948102693223,224.826,219.703897306777,3.22312774742797,-266.392414588872,18.8219334581601,28.757149257303,22.5081028626998,19.9474747859391,33.8106356579969,226.443333333333,226.284807692308,213.656277942143,215.156442307692,221.34
2010-05-07,213.33,216.59,212.41,215.09,153082293,-0.0233,2,-5.12,6277314740797,753427115251485,-1,225.957,221.8646,32.6570843227588,-0.380867285532844,1.11039265000701,231.639666216928,222.622,213.604333783072,3.55004719404026,-329.632465543642,16.7484751192879,22.8001532583999,23.9026590877249,16.8161036056759,41.2023607170767,224.957777777778,225.991346153846,213.930797583826,215.177019230769,223.34
2010-05-10,216.86,219.53,215.88,219.1,108117427,0.0186,1,4.01,4421494296832,767895104419500,0,225.5715,222.0954,41.4842360542008,-0.743968509540565,0.739520418097494,228.335329740166,220.852,213.368670259834,3.61361525160881,-182.584914719944,24.6718272038328,20.080745260427,24.193637029107,21.1526612665462,37.5854375245685,223.646666666667,225.757692307692,214.211541337936,215.203461538462,223.45
2010-05-11,220.94,221.0,216.63,217.63,125763021,-0.0067,2,-1.47,5247999949266,763179867735495,0,225.2235,222.2808,39.443165204378,-1.13723620915297,0.364169092647401,225.75649232242,219.358,212.95950767758,3.66764273363675,-143.593215239386,31.8313291721131,24.4172104984113,24.0013736175171,22.2155246482996,34.3859436450209,222.500555555556,225.480192307692,214.518357577252,215.257884615385,223.77
2010-05-12,218.86,219.26,215.98,216.78,111637814,-0.0039,2,-0.85,5015938880719,760101467436895,0,224.828,222.3876,38.2706274370787,-1.50019823922932,-0.00870437372794358,221.328990888698,217.762,214.195009111302,3.63995396694841,-137.885371019914,43.4493228218552,33.3174930659337,23.9547427512736,20.7853283389726,33.4480254498282,221.592222222222,225.126538461538,214.860900312295,215.296153846154,227.69
2010-05-13,219.55,221.68,219.34,220.8,113397318,0.0185,1,4.02,4529260364052,774133050017600,0,224.464,222.5564,46.3878932196362,-1.44679016320106,-0.296321531622566,221.786036354172,217.88,213.973963645828,3.72995725502353,-67.4581009714133,59.0526834069208,44.7777784669631,23.1520596145244,23.4697322730759,30.3088508668715,220.951111111111,224.855192307692,215.24569074622,215.346923076923,226.45
2010-05-14,219.58,221.69,218.45,221.08,131874758,0.0013,1,0.28,5359734051250,774189155063005,1,224.0595,222.7398,46.9115355286208,-1.36612240946721,-0.510281707191495,222.466365977882,219.078,215.689634022118,3.69496030823613,-62.2555269343191,76.9603269056195,59.8207777114652,22.6125071479449,21.999482684749,30.1309583431808,220.029444444444,224.580192307692,215.662031558185,215.403365384615,225.59
2010-05-17,217.34,217.9,214.27,215.36,137856068,-0.0259,2,-5.72,5778188214713,754091687599600,0,223.443,222.766,38.6141539967575,-1.74364912765901,-0.756955191284998,222.835711930439,218.33,213.824288069561,3.91746314336212,-120.432608072377,64.8992998018705,66.970770038137,22.9740262187266,19.2674055601109,34.0117620743519,218.961666666667,224.150961538461,216.112393162393,215.522307692308,227.45
2010-05-18,216.68,216.8,212.57,214.42,128232559,-0.0044,2,-0.94,5502122016656,750612632837860,0,222.9815,222.6998,37.4421248635749,-2.09454727863371,-1.02447360875474,223.209889531682,217.688,212.166110468318,3.93978720455054,-119.778560644187,41.4919917528915,61.1172061534605,23.6143589393687,17.7895770267216,34.4855717733721,217.747777777778,223.685384615385,216.591453813281,215.671923076923,225.63
2010-05-19,211.26,212.54,208.83,212.43,124031037,-0.0093,2,-1.99,5169510960973,743815007842625,0,222.3465,222.592,35.0188448252984,-2.50434443647845,-1.32044777429948,223.812379457826,216.818,209.823620542174,4.05765954708265,-142.995515305513,20.9896312778876,42.4603076108832,24.8048903137726,16.0388073961822,37.6761636098122,216.741666666667,223.094807692308,217.083652613412,215.856057692308,225.55
2010-05-20,211.55,213.85,207.71,208.78,114720742,-0.0172,2,-3.65,5099448505536,731372598552075,0,221.331,222.4112,31.0494726790616,-3.08803913921744,-1.67396604728307,222.464278007625,214.414,206.363721992375,4.20639815086246,-140.388210160892,18.644219336557,27.0419474557787,25.4675360010711,16.5911195315192,33.747488729914,216.328333333333,222.578461538462,217.574457182774,216.050961538462,222.54
2010-05-24,207.5,211.36,207.46,210.27,90578766,0.0071,1,1.49,3808235235774,736273473805475,0,220.4565,222.2814,34.3222492720137,-3.39129807567429,-2.01743245296132,217.181477051377,212.252,207.322522948624,4.184512568658,-131.569392941791,20.8544263675444,20.1627589939964,26.1252321069713,15.4864978777099,31.927400657006,215.406666666667,221.900192307692,218.067440828402,216.290480769231,220.85
2010-05-25,207.58,207.79,201.5,204.83,136733251,-0.0259,2,-5.44,5405424335968,716584651211195,-1,219.33,222.031,28.9241937715376,-4.0242069509533,-2.41878735255971,216.695804271887,210.146,203.596195728113,4.51204738518242,-167.347172840922,18.7780686082666,19.425571437456,27.611850826449,13.336238358684,36.9302866972127,213.832222222222,220.983269230769,218.556064677844,216.616826923077,218.65
2010-05-26,206.95,207.51,203.21,206.62,121650427,0.0087,1,1.79,5005491099243,724171356414560,0,218.179,221.8536,32.6762449221723,-4.33142379681632,-2.80131464141104,213.924353304156,208.586,203.247646695844,4.49690114338368,-139.448520921991,30.0459681910521,23.2261543889544,28.9922824945355,12.4252822157153,34.4076959468371,212.47,220.125576923077,219.02984508547,216.952115384615,217.01
2010-05-27,204.54,210.49,204.52,209.83,124156460,0.0155,1,3.21,4909792719332,734865346109835,0,217.2065,221.7452,38.9048445389326,-4.26669142480796,-3.09438999809042,212.168849741348,208.066,203.963150258652,4.60212249028484,-99.9379002706786,43.5571961578155,30.7937443190447,29.2437822439768,15.899430546397,31.2192627540731,211.025,219.475769230769,219.47722304405,217.220288461539,217.47
